P#,Document,Extension,Jenis,SortCategory,Category,SortTopic,Topic,Date,LastUpdated,MIMEType,Size,ID,url
5,SPT 1111 Sejak Masa Juni 2013,,KUP,3,SPT,6,SPT Masa PPN,Mon Feb 17 2020 16:22:50 GMT+0800 (HKT),Mon Feb 17 2020 16:32:41 GMT+0800 (HKT),document,0,1k03x39ZkyMZsDIQLnp6y-3g9ZVOwKBVfC6HUSrBJjB0,https://docs.google.com/document/d/1k03x39ZkyMZsDIQLnp6y-3g9ZVOwKBVfC6HUSrBJjB0/edit?usp=drivesdk
3,Kewajiban E-SPT bagi WP di KPP Madya dan KPP di Wilayah Kanwil Jakarta Khusus dan Kanwil WP Besar,,KUP,3,SPT,6,SPT Masa PPN,Mon Feb 17 2020 16:23:04 GMT+0800 (HKT),Mon Feb 17 2020 16:30:26 GMT+0800 (HKT),document,0,1pck7jzGl9CGoElCoZUjy2r4Ii0N3EHQB9UFVhxEI1eA,https://docs.google.com/document/d/1pck7jzGl9CGoElCoZUjy2r4Ii0N3EHQB9UFVhxEI1eA/edit?usp=drivesdk
1,SPT Masa PPN sejak Masa Juli 2015,,KUP,3,SPT,6,SPT Masa PPN,Mon Feb 17 2020 16:24:00 GMT+0800 (HKT),Mon Feb 17 2020 16:30:16 GMT+0800 (HKT),document,0,1mb9gL1mszF7d3XhYoqUV4MrJ7E8xTKM0cXzFLoVxhpg,https://docs.google.com/document/d/1mb9gL1mszF7d3XhYoqUV4MrJ7E8xTKM0cXzFLoVxhpg/edit?usp=drivesdk
1,SPT Masa PPh Pasal 23 26,,KUP,3,SPT,5,SPT Masa PPh Pasal 23,Mon Feb 17 2020 16:24:33 GMT+0800 (HKT),Thu Mar 05 2020 19:12:43 GMT+0800 (HKT),document,0,1ThPdavszTHxRPN_FVJwv5nOALJeuU2Gdeg6dQK5WuvU,https://docs.google.com/document/d/1ThPdavszTHxRPN_FVJwv5nOALJeuU2Gdeg6dQK5WuvU/edit?usp=drivesdk
1,SPT Tahunan PPh OP,,KUP,3,SPT,2,SPT Tahunan PPh OP,Mon Feb 17 2020 16:24:43 GMT+0800 (HKT),Tue Feb 18 2020 11:19:52 GMT+0800 (HKT),document,0,13vI79rMRgrlESumWZ_jxGlijTCrbbIjizRqp6Lk_Ahk,https://docs.google.com/document/d/13vI79rMRgrlESumWZ_jxGlijTCrbbIjizRqp6Lk_Ahk/edit?usp=drivesdk
2,Penghasilan Tidak Kena Pajak (PTKP),,KUP,3,SPT,2,SPT Tahunan PPh OP,Mon Feb 17 2020 16:24:13 GMT+0800 (HKT),Mon Feb 17 2020 16:34:56 GMT+0800 (HKT),document,0,1-N_PJ3BShITjTHF9BVCA73gcJBOnT8_S_Nu7NZt_IMo,https://docs.google.com/document/d/1-N_PJ3BShITjTHF9BVCA73gcJBOnT8_S_Nu7NZt_IMo/edit?usp=drivesdk
2,SPT Masa PPh 21 (Ketentuan Sejak 1 Januari 2014),,KUP,3,SPT,4,SPT Masa PPh Pasal 21,Mon Feb 17 2020 16:24:57 GMT+0800 (HKT),Mon Feb 17 2020 16:29:48 GMT+0800 (HKT),document,0,1Q7Yqe6ZTGMO4ibdHTk_rMr6Pd791YcX2Gex-Qd31CJI,https://docs.google.com/document/d/1Q7Yqe6ZTGMO4ibdHTk_rMr6Pd791YcX2Gex-Qd31CJI/edit?usp=drivesdk
1,SPT Masa PPh 21 (Ketentuan Sebelum 1 Januari 2014),,KUP,3,SPT,4,SPT Masa PPh Pasal 21,Mon Feb 17 2020 16:23:41 GMT+0800 (HKT),Mon Feb 17 2020 16:29:41 GMT+0800 (HKT),document,0,11Te8N5THjwViyvutNg2XVSjw7jbldi3yuiU-6XYS4ZY,https://docs.google.com/document/d/11Te8N5THjwViyvutNg2XVSjw7jbldi3yuiU-6XYS4ZY/edit?usp=drivesdk
3,Penyampaian SPT Elektronik (e-SPT),1,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:24:26 GMT+0800 (HKT),Wed Mar 04 2020 10:08:46 GMT+0800 (HKT),document,0,1Cfp8LGAF8MAa66d10XFRJ6xc6RSoWiR1XXILDya6_dQ,https://docs.google.com/document/d/1Cfp8LGAF8MAa66d10XFRJ6xc6RSoWiR1XXILDya6_dQ/edit?usp=drivesdk
2,Penyampaian SPT Tahunan,1,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:22:24 GMT+0800 (HKT),Wed Mar 04 2020 10:08:38 GMT+0800 (HKT),document,0,1BdcHVgbUSlrtige8ifIBWjjID_zl-6fPe0P5ExdQU70,https://docs.google.com/document/d/1BdcHVgbUSlrtige8ifIBWjjID_zl-6fPe0P5ExdQU70/edit?usp=drivesdk
1,Ketentuan Umum Terkait SPT,1,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:23:34 GMT+0800 (HKT),Wed Mar 04 2020 10:08:29 GMT+0800 (HKT),document,0,11oMp303gjmonennB6DQUIS-GzY3ycuk92dSwvCt-Ap8,https://docs.google.com/document/d/11oMp303gjmonennB6DQUIS-GzY3ycuk92dSwvCt-Ap8/edit?usp=drivesdk
12,Penyedia Layanan SPT Elektronik,1,KUP,3,SPT,1,Ketentuan Terkait SPT,Mon Feb 17 2020 16:24:21 GMT+0800 (HKT),Wed Mar 04 2020 10:08:13 GMT+0800 (HKT),document,0,155PgC7ZmJxS_MwfCJRRmg9Tk6UV11788RqRbLWE-GA4,https://docs.google.com/document/d/155PgC7ZmJxS_MwfCJRRmg9Tk6UV11788RqRbLWE-GA4/edit?usp=drivesdk
